student_id,math_score,language_score,absences,participation,homework_completion,previous_performance,has_difficulty
1,4.409280308407007,5.301555109539503,1,0.5039765920425074,0.5300651817589411,7.1841207817501385,1
2,3.90221486791215,6.495225612681569,9,0.49386222560265164,0.7707629192539269,5.373450370863344,1
3,4.952879328434305,6.588742580167876,0,0.5501457388987572,0.8266621706063759,7.2431988581266395,1
4,6.100787926701031,6.037267276934058,7,0.7295359988236723,0.8541053306080939,6.687662441118903,0
5,3.90110663952141,6.806457146000789,0,0.8287575536200373,0.8527326999561877,7.15832570525363,1
6,4.518414132445093,7.484861028177446,8,0.7961184260306388,0.3638442721340832,7.162339945461859,1
7,6.563159410533267,9.263423081452636,10,0.5679603381675657,0.646094213291807,3.6120560182895467,0
8,5.270890416698045,7.209493375398207,5,0.9729191683979165,0.34029113201165095,5.628318035735932,0
9,3.177629209821077,7.309060468867317,6,0.8427381500174611,0.6846702176266148,6.658782736684487,1
10,5.1663507460344285,6.910664901080599,12,0.7326124315068404,0.6090713509613639,6.727869554213024,0
11,4.113503006587962,4.69747454164115,9,0.7670324477406114,0.9213929279308097,7.1372061016996025,1
12,3.8757415109465274,6.96818334946094,6,0.6517600374566739,0.5456405087864551,7.193052777431135,1
13,4.818319962751098,7.072276251929232,9,0.5486385937006945,0.3819469114993241,8.771103319814065,1
14,1.1612037710159013,9.955890534982343,2,0.613583607190757,0.40009417743698505,7.206196025427332,1
15,1.556455794227083,6.769166842262653,1,0.8547076662786215,0.8330574422022305,6.393069179318627,1
16,3.622423617291772,7.361856810800335,8,0.40863609317785354,0.7327526443213828,4.721139485701272,1
17,2.000980446308894,6.958345876353708,7,0.46964358430414976,0.37078587328595314,5.020832849795585,1
18,4.56270876985758,5.597586354856562,12,0.4276015852130517,0.3588747642804982,7.496139352967766,1
19,3.2821236991141918,8.371387377418024,11,0.4244372813913821,0.790678392021384,8.178580858343608,1
20,2.7288707390664575,7.902319639224129,9,0.9132763504066044,0.35093410445493545,8.803782295993637,1
21,8.69847315338233,7.949238336451656,6,0.8221947156280143,0.8753020415032493,5.723738997409573,0
22,6.161335549270197,5.908735054246313,8,0.6845042974523952,0.7943695590095473,6.404976233939794,0
